PLAYER,VALUE
Bobby Simmons,10.22
Ersan Ilyasova,10.2
Jarrett Jack,10.2
Rodney Rogers,10.2
Corliss Williamson,10.13
John Salmons,10.13
Dan Dickau,10.1
Dominic McGuire,10.1
Spencer Hawes,10.1
Tyrus Thomas,10.07
Darrell Armstrong,10.02
Anthony Parker,9.95
Chris Mihm,9.93
Aaron Williams,9.9
Amir Johnson,9.9
David Wesley,9.9
Lee Nailon,9.9
Etan Thomas,9.75
Rafer Alston,9.74
Ronny Turiaf,9.73
Arvydas Sabonis,9.7
Brandon Bass,9.7
Channing Frye,9.7
Serge Ibaka,9.7
Tim Hardaway,9.7
Craig Smith,9.68
Brent Barry,9.64
Chris Gatling,9.6
Jahidi White,9.6
Leon Powe,9.6
Dan Gadzuric,9.57
Mike James,9.54
C.J. Watson,9.5
Greg Ostertag,9.48
Aaron Brooks,9.4
Bob Sura,9.35
Marcus Fizer,9.35
Jason Maxiell,9.33
Earl Boykins,9.3
Ervin Johnson,9.3
Jonny Flynn,9.3
Marcus Thornton,9.3
Rick Fox,9.2
Vladimir Stepania,9.2
Malik Rose,9.18
Nate Robinson,9.17
Trevor Ariza,9.17
Travis Best,9.15
Glen Rice,9.1
Jason Caffey,9.1
James Posey,9.09
Tony Battie,9.06
Kyle Lowry,9.05
Tim Thomas,9.04
Donnell Harvey,9.0
Jameer Nelson,8.95
Randy Foye,8.93
Clifford Robinson,8.92
Matt Barnes,8.9
Mikki Moore,8.9
Smush Parker,8.9
Stromile Swift,8.9
Tony Delk,8.9
Fabricio Oberto,8.85
Brian Skinner,8.8
Eduardo Najera,8.8
Anthony Carter,8.73
Calbert Cheaney,8.7
Jason Williams,8.7
Marc Jackson,8.7
Antonio Daniels,8.69
DeShawn Stevenson,8.65
Chris Duhon,8.62
Othella Harrington,8.62
Adonal Foyle,8.6
Bryant Stith,8.6
Chris Whitney,8.6
Marreese Speights,8.6
Sean Williams,8.6
Francisco Elson,8.55
Chuck Hayes,8.52
Eddie Griffin,8.5
Jon Barry,8.5
Omri Casspi,8.5
Terrence Williams,8.5
Zeljko Rebraca,8.5
Andres Nocioni,8.48
Lou Williams,8.45
Earl Watson,8.43
Jumaine Jones,8.43
Shelden Williams,8.4
Vitaly Potapenko,8.4
Tyronn Lue,8.38
Kevin Willis,8.35
George Lynch,8.33
Dion Glover,8.3
Robert Horry,8.3
Tyrone Nesby,8.3
Reggie Evans,8.22
Courtney Lee,8.2
DeMar DeRozan,8.2
Derek Fisher,8.2
Marko Jaric,8.2
George Hill,8.15
Matt Bonner,8.13
Darius Songaila,8.12
Felipe Lopez,8.1
Toni Kukoc,8.1
Alan Henderson,8.07
Chucky Atkins,8.04
Quentin Richardson,8.04
Morris Peterson,8.01
Darrell Arthur,8.0
George McCloud,8.0
Glen Davis,8.0
Jrue Holiday,8.0
Ryan Bowen,8.0
Fred Hoiberg,7.98
Johan Petro,7.95
Shawn Kemp,7.95
Mario Chalmers,7.9
Rick Brunson,7.9
Wesley Matthews,7.9
Carlos Arroyo,7.84
Beno Udrih,7.82
Calvin Booth,7.8
Gary Trent,7.8
JaVale McGee,7.8
Jared Dudley,7.8
Jay Williams,7.8
Corey Brewer,7.75
Steven Smith,7.73
DeAndre Jordan,7.7
Francisco Garcia,7.7
James Harden,7.7
Kendall Gill,7.7
Steven Hunter,7.65
Trenton Hassell,7.65
Gordan Giricek,7.63
Carlos Delfino,7.6
Corie Blount,7.6
Ira Newble,7.6
Predrag Drobnjak,7.6
Jared Jeffries,7.58
Malik Allen,7.55
Evan Eschmeyer,7.5
Voshon Lenard,7.43
Dorell Wright,7.4
Eric Piatkowski,7.4
Olden Polynice,7.4
Vladimir Radmanovic,7.38
Robert Traylor,7.33
Robert Pack,7.3
Tony Massenburg,7.3
Linas Kleiza,7.27
Moochie Norris,7.27
Andrew DeClercq,7.25
Eric Williams,7.25
JR Smith,7.25
Mickael Pietrus,7.25
Chris Childs,7.2
Howard Eisley,7.2
Lucious Harris,7.2
Melvin Ely,7.2
Damien Wilkins,7.17
Kyle Korver,7.17
Raja Bell,7.17
Jason Collins,7.13
Adrian Griffin,7.1
Danny Manning,7.1
Johnny Newman,7.1
Joey Graham,7.03
J.J. Barea,7.0
Lou Amundson,7.0
Rudy Fernandez,7.0
Anthony Peeler,6.95
Jiri Welsch,6.95
Devean George,6.93
Flip Murray,6.93
Austin Croshere,6.9
Bobby Jackson,6.9
CJ Miles,6.9
D.J. Augustin,6.9
Goran Dragic,6.9
JJ Redick,6.9
Marcin Gortat,6.9
Marquis Daniels,6.9
Fred Jones,6.87
Troy Hudson,6.85
Anthony Johnson,6.8
Raul Lopez,6.8
Terry Porter,6.8
Ime Udoka,6.75
Steve Blake,6.75
Brandon Rush,6.7
Kris Humphries,6.7
Milt Palacio,6.67
Brian Cook,6.65
Luther Head,6.6
Rashad McCants,6.6
Ryan Hollins,6.6
Sean Rooks,6.6
Shandon Anderson,6.58
Matt Carroll,6.57
Junior Harrington,6.5
Tony Allen,6.5
Damon Jones,6.45
Scott Padgett,6.45
Willie Green,6.45
Greg Buckner,6.43
Chase Budinger,6.4
Jerome James,6.4
Jerryd Bayless,6.4
Juan Dixon,6.4
DeSagana Diop,6.36
Luke Walton,6.35
Brevin Knight,6.3
Donte Greene,6.3
Jake Voskuhl,6.3
Jelani McCoy,6.3
John Starks,6.3
Shammond Williams,6.3
Kevin Ollie,6.26
Charlie Bell,6.23
Bostjan Nachbar,6.2
Ron Mercer,6.2
Thabo Sefolosha,6.2
A.C. Green,6.1
Devin Brown,6.1
Shannon Brown,6.1
Erick Strickland,6.05
Sebastian Telfair,6.05
Jarron Collins,6.02
